iata,name,country,region,latitude,longitude,facility_type,init_capacity,security_level,in_charge
OCA,Ocean Reef Club Airport,US,US-FL,25.325399398804,-80.274803161621,small_airport,0,10,False
PQS,Pilot Station Airport,US,US-AK,61.934601,-162.899994,small_airport,0,10,False
CSE,Crested Butte Airpark,US,US-CO,38.851918,-106.928341,small_airport,0,10,True
JCY,LBJ Ranch Airport,US,US-TX,30.251800537100003,-98.62249755859999,small_airport,0,10,True
PMX,Metropolitan Airport,US,US-MA,42.223300933800004,-72.31140136719999,small_airport,0,10,False
NUP,Nunapitchuk Airport,US,US-AK,60.905591,-162.440454,small_airport,0,10,False
ICY,Icy Bay Airport,US,US-AK,59.96900177,-141.662002563,small_airport,0,10,False
KKK,Kalakaket Creek AS Airport,US,US-AK,64.4166256967,-156.820392609,small_airport,0,10,False
MHS,Dunsmuir Muni-Mott Airport,US,US-CA,41.263199,-122.272003,small_airport,0,10,False
GCT,Grand Canyon Bar Ten Airstrip,US,US-AZ,36.259701,-113.231003,small_airport,0,10,True
LVD,Lime Village Airport,US,US-AK,61.3591003418,-155.440002441,small_airport,0,10,False
HGZ,Hog River Airport,US,US-AK,66.2161026,-155.6690063,small_airport,0,10,False
OTN,Ed-Air Airport,US,US-IN,38.851398468,-87.4997024536,small_airport,0,10,True
TLF,Telida Airport,US,US-AK,63.393901824951,-153.26899719238,small_airport,0,10,False
BZT,Eagle Air Park,US,US-TX,28.982200622559,-95.579696655273,small_airport,0,10,True
BYW,Blakely Island Airport,US,US-WA,48.578998565700005,-122.825996399,small_airport,0,10,False
DRF,Drift River Airport,US,US-AK,60.588901519800004,-152.162002563,small_airport,0,10,False
BDF,Rinkenberger Restricted Landing Area,US,US-IL,41.230899810800004,-89.61569976810001,small_airport,0,10,False
VRS,Roy Otten Memorial Airfield,US,US-MO,38.427799224854,-92.875198364258,small_airport,0,10,True
ATT,Atmautluak Airport,US,US-AK,60.866699,-162.272995,small_airport,0,10,False
LIV,Livengood Camp Airport,US,US-AK,65.467,-148.6534,small_airport,0,10,False
PDB,Pedro Bay Airport,US,US-AK,59.7896003723,-154.12399292,small_airport,0,10,False
KOZ,Ouzinkie Airport,US,US-AK,57.925362,-152.496715,small_airport,0,10,False
TNK,Tununak Airport,US,US-AK,60.575500488281,-165.27200317383,small_airport,0,10,False
WKK,Aleknagik / New Airport,US,US-AK,59.2826004028,-158.617996216,medium_airport,0,20,False
NNK,Naknek Airport,US,US-AK,58.732898712158,-157.02000427246,small_airport,0,10,False
BCS,Southern Seaplane Airport,US,US-LA,29.8661003113,-90.0222015381,small_airport,0,10,True
BWL,Earl Henry Airport,US,US-OK,36.7958984375,-97.3170013428,small_airport,0,10,True
CWS,Center Island Airport,US,US-WA,48.4901008606,-122.832000732,small_airport,0,10,False
TEK,Tatitlek Airport,US,US-AK,60.871449,-146.690297,small_airport,0,10,False
DUF,Pine Island Airport,US,US-NC,36.2535018921,-75.7884979248,small_airport,0,10,False
SSW,Stuart Island Airpark,US,US-WA,48.672901153564,-123.17600250244,small_airport,0,10,False
